

(Table XV)	Centrality  0- 5%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.197      |   7.029 |  12.958 | \pm  0.033    |  11.32 |  84.34 | \pm  8.15   | 0.83         | 26.9  | \pm  6.15   | \pm  7.47   | \pm 12.66   
 0.175      |   5.142 |  11.519 | \pm  0.026    |  09.44 |  83.15 | \pm  7.72   | 0.88         | 25.1  | \pm  5.22   | \pm  7.32   | \pm 11.85   
 0.153      |   3.253 |  10.073 | \pm  0.024    |  06.03 |  80.26 | \pm  8.35   | 0.94         | 23.0  | \pm  4.18   | \pm  6.94   | \pm 11.64   
 0.131      |   1.367 |   8.626 | \pm  0.020    |  96.68 |  72.34 | \pm  7.60   | 0.94         | 20.5  | \pm  4.30   | \pm  7.09   | \pm 11.25   
 0.109      |   9.474 |   7.170 | \pm  0.017    |  88.58 |  65.38 | \pm  7.20   | 0.87         | 18.1  | \pm  3.97   | \pm  8.10   | \pm 11.54   
 0.087      |   7.575 |   5.704 | \pm  0.013    |  77.55 |  55.69 | \pm  6.79   | 0.81         | 15.6  | \pm  3.54   | \pm  7.64   | \pm 10.82   
 0.066      |   5.714 |   4.443 | \pm  0.010    |  64.41 |  47.02 | \pm  6.22   | 0.63         | 12.8  | \pm  4.49   | \pm  6.13   | \pm  9.82   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XVIII)	Centrality 15-20%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   0.243 |  38.888 | \pm  0.109    |  95.08 |  73.59 | \pm  4.42   | 0.79         | 53.0  | \pm  4.84   | \pm  6.50   | \pm  9.23   
 0.678      |   8.892 |  37.875 | \pm  0.106    |  95.76 |  74.18 | \pm  4.54   | 0.67         | 52.4  | \pm  3.20   | \pm  1.41   | \pm  5.73   
 0.656      |   7.301 |  36.592 | \pm  0.104    |  95.63 |  73.98 | \pm  4.65   | 0.75         | 51.2  | \pm  2.80   | \pm  1.66   | \pm  5.68   
 0.634      |   5.685 |  35.292 | \pm  0.102    |  95.70 |  73.94 | \pm  4.78   | 0.71         | 49.2  | \pm  2.09   | \pm  1.96   | \pm  5.57   
 0.613      |   4.087 |  34.031 | \pm  0.100    |  94.78 |  73.17 | \pm  4.87   | 0.71         | 47.7  | \pm  3.79   | \pm  3.17   | \pm  6.94   
 0.591      |   2.483 |  32.785 | \pm  0.097    |  95.97 |  74.07 | \pm  5.05   | 0.70         | 47.1  | \pm  2.95   | \pm  1.99   | \pm  6.18   
 0.569      |   0.884 |  31.519 | \pm  0.095    |  96.10 |  74.10 | \pm  5.22   | 0.69         | 46.1  | \pm  2.66   | \pm  2.10   | \pm  6.22   
 0.547      |   9.301 |  30.251 | \pm  0.092    |  95.92 |  73.85 | \pm  5.36   | 0.70         | 44.8  | \pm  3.31   | \pm  2.60   | \pm  6.82   
 0.525      |   7.708 |  28.981 | \pm  0.090    |  96.52 |  74.20 | \pm  5.57   | 0.71         | 43.6  | \pm  3.47   | \pm  1.98   | \pm  6.85   
 0.503      |   6.108 |  27.700 | \pm  0.088    |  96.81 |  74.28 | \pm  5.77   | 0.75         | 42.5  | \pm  2.84   | \pm  2.39   | \pm  6.86   
 0.481      |   4.505 |  26.406 | \pm  0.085    |  96.51 |  73.88 | \pm  5.92   | 0.73         | 41.4  | \pm  2.38   | \pm  1.88   | \pm  6.65   
 0.459      |   2.897 |  25.100 | \pm  0.083    |  95.50 |  72.89 | \pm  6.03   | 0.73         | 40.1  | \pm  2.67   | \pm  2.54   | \pm  7.07   
 0.438      |   1.285 |  23.784 | \pm  0.081    |  95.28 |  72.47 | \pm  6.24   | 0.77         | 38.6  | \pm  2.78   | \pm  2.27   | \pm  7.19   
 0.416      |   9.677 |  22.474 | \pm  0.078    |  95.11 |  72.09 | \pm  6.45   | 0.78         | 37.3  | \pm  3.02   | \pm  2.26   | \pm  7.47   
 0.394      |   8.079 |  21.180 | \pm  0.076    |  94.76 |  71.57 | \pm  6.69   | 0.78         | 35.9  | \pm  2.98   | \pm  3.07   | \pm  7.94   
 0.372      |   6.483 |  19.889 | \pm  0.073    |  95.08 |  71.55 | \pm  7.04   | 0.81         | 34.6  | \pm  2.59   | \pm  2.66   | \pm  7.96   
 0.350      |   4.918 |  18.661 | \pm  0.050    |  94.28 |  70.78 | \pm  5.11   | 0.80         | 33.3  | \pm  3.11   | \pm  2.66   | \pm  6.55   
 0.328      |   3.365 |  17.541 | \pm  0.048    |  92.98 |  70.16 | \pm  5.28   | 0.82         | 32.3  | \pm  2.56   | \pm  2.78   | \pm  6.50   
 0.306      |   1.831 |  16.441 | \pm  0.046    |  91.68 |  69.59 | \pm  5.47   | 0.84         | 31.2  | \pm  2.32   | \pm  3.06   | \pm  6.69   
 0.284      |   0.294 |  15.325 | \pm  0.044    |  89.06 |  68.15 | \pm  5.60   | 0.85         | 29.8  | \pm  2.62   | \pm  3.13   | \pm  6.93   
 0.263      |   8.754 |  14.199 | \pm  0.042    |  87.46 |  67.23 | \pm  5.76   | 0.85         | 28.5  | \pm  2.47   | \pm  2.87   | \pm  6.90   
 0.241      |   7.215 |  13.060 | \pm  0.040    |  86.16 |  66.47 | \pm  6.04   | 0.88         | 27.0  | \pm  2.30   | \pm  3.25   | \pm  7.23   
