pp
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    0.83     -6.21e-05     0
    1.13     -6.21e-05     0
    1.42     -6.21e-05     0
    1.77     0.000319     0.000271
    2.16     0.000404     0.000235
    2.45     0.00058     0.000325
    2.65     0.00195     0.00058
    2.85     0.00245     0.000605
    3.04     0.00253     0.000595
    3.24     0.00287     0.000677
    3.44     0.00242     0.000615
    3.63     0.00196     0.000564
    3.83     0.0007     0.000387
    4.12     0.000308     0.000215
    4.52     0.000125     0.000188
4-5 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -4.91e-05     0
    -1.13     0.000108     0.000157
    -0.83     -4.91e-05     0
    -0.54     0.000263     0.000182
    -0.29     0.00114     0.000387
    -0.15     0.00625     0.00115
    -0.05     0.00747     0.0013
    0.05     0.00649     0.00126
    0.15     0.00534     0.00111
    0.29     0.000875     0.000357
    0.54     0.000498     0.000248
    0.83     -4.91e-05     0
    1.13     0.000332     0.000272
    1.42     -4.91e-05     0
    1.77     -4.91e-05     0
    2.16     0.000157     0.000146
    2.45     0.000672     0.000367
    2.65     0.000686     0.000306
    2.85     0.00211     0.000592
    3.04     0.00175     0.000521
    3.24     0.0048     0.000984
    3.44     0.00165     0.00051
    3.63     0.00106     0.000402
    3.83     0.000141     0.000191
    4.12     0.000197     0.000175
    4.52     -4.91e-05     0
5-10 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -0.00539     0.00324
    -1.13     0.00631     0.00329
    -0.83     0.0223     0.00303
    -0.54     0.0721     0.00294
    -0.29     0.158     0.00413
    -0.15     0.196     0.00641
    -0.05     0.192     0.00642
    0.05     0.199     0.00651
    0.15     0.177     0.00627
    0.29     0.145     0.00415
    0.54     0.0684     0.00308
    0.83     0.0228     0.00328
    1.13     0.00024     0.00352
    1.42     -0.00686     0.00348
    1.77     0.0138     0.00329
    2.16     0.0414     0.00306
    2.45     0.0864     0.00442
    2.65     0.109     0.00432
    2.85     0.136     0.00428
    3.04     0.166     0.00446
    3.24     0.163     0.0045
    3.44     0.152     0.00447
    3.63     0.12     0.00432
    3.83     0.0967     0.00432
    4.12     0.0477     0.00307
    4.52     0.0192     0.00323
5-10 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.00151     0.00179
    -1.13     -0.0019     0.0014
    -0.83     0.00705     0.00137
    -0.54     0.0398     0.00165
    -0.29     0.122     0.00265
    -0.15     0.216     0.00457
    -0.05     0.212     0.00464
    0.05     0.225     0.00479
    0.15     0.197     0.00444
    0.29     0.122     0.00274
    0.54     0.0416     0.0018
    0.83     0.00822     0.00157
    1.13     -0.000946     0.00162
    1.42     -0.0024     0.00186
    1.77     0.00514     0.00164
    2.16     0.0219     0.00155
    2.45     0.0479     0.00234
    2.65     0.0667     0.00247
    2.85     0.0981     0.0027
    3.04     0.123     0.00289
    3.24     0.122     0.00281
    3.44     0.1     0.00266
    3.63     0.0749     0.00253
    3.83     0.0486     0.00236
    4.12     0.0274     0.00164
    4.52     0.00349     0.00159
5-10 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.000117     0.000514
    -1.13     0.000438     0.000422
    -0.83     0.00145     0.000418
    -0.54     0.00785     0.000604
    -0.29     0.0367     0.00133
    -0.15     0.0827     0.00269
    -0.05     0.104     0.00298
    0.05     0.0992     0.0029
    0.15     0.0859     0.00286
    0.29     0.0332     0.00131
    0.54     0.00833     0.000675
    0.83     0.00166     0.000488
    1.13     0.000565     0.000493
    1.42     0.000502     0.000598
    1.77     0.00145     0.000531
    2.16     0.00565     0.000576
    2.45     0.01     0.000879
    2.65     0.0184     0.00109
    2.85     0.0291     0.0013
    3.04     0.0413     0.00148
    3.24     0.0425     0.00149
    3.44     0.0341     0.00137
    3.63     0.0196     0.0011
