20 - 40 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -0.15     0.173     0.00295      -0.0273     0.0256
    -0.05     0.187     0.00294      -0.0281     0.0264
    0.05     0.195     0.00295      -0.0281     0.0264
    0.15     0.177     0.00295      -0.0273     0.0256
    0.29     0.13     0.00213      -0.0245     0.0231
    0.54     0.0604     0.00189      -0.0171     0.0163
    0.83     0.00966     0.00212      -0.00672     0.00666
    1.13     0.00221     0.00256      0.0014     -0.00105
    1.42     0.0199     0.00322      0.00552     -0.00505
    1.77     0.0478     0.00269      0.00513     -0.00467
    2.16     0.0761     0.0021      -0.00221     0.0024
    2.45     0.069     0.00254      -0.0118     0.0114
    2.65     0.0605     0.00238      -0.0187     0.0178
    2.85     0.0526     0.00229      -0.0245     0.0231
    3.04     0.0411     0.00226      -0.0278     0.0261
    3.24     0.0467     0.00225      -0.0278     0.0261
    3.44     0.0504     0.00226      -0.0245     0.0231
    3.63     0.0592     0.00236      -0.0187     0.0178
    3.83     0.0684     0.00247      -0.0118     0.0114
    4.12     0.0742     0.00203      -0.00221     0.0024
    4.52     0.0536     0.0026      0.00513     -0.00467
3-4 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00133     0.000904      0.000517     -0.000274
    -1.13     0.000352     0.000724      0.000112     0.00013
    -0.83     0.00148     0.000607      -0.000756     0.000963
    -0.54     0.00953     0.000538      -0.00194     0.00207
    -0.29     0.0241     0.000607      -0.00284     0.00289
    -0.15     0.0356     0.000841      -0.00317     0.00319
    -0.05     0.0414     0.000831      -0.00328     0.00329
    0.05     0.0416     0.000832      -0.00328     0.00329
    0.15     0.0349     0.000841      -0.00317     0.00319
    0.29     0.0246     0.000604      -0.00284     0.00289
    0.54     0.00984     0.000523      -0.00194     0.00207
    0.83     0.00121     0.000572      -0.000756     0.000963
    1.13     -9.59e-05     0.000692      0.000112     0.00013
    1.42     0.00214     0.000911      0.000517     -0.000274
    1.77     0.00491     0.000736      0.00048     -0.000236
    2.16     0.00787     0.000572      -0.000265     0.000496
    2.45     0.00588     0.000691      -0.00133     0.0015
    2.65     0.00618     0.000644      -0.00214     0.00225
    2.85     0.00388     0.000622      -0.00284     0.00289
    3.04     0.00347     0.000618      -0.00324     0.00325
    3.24     0.00371     0.000618      -0.00324     0.00325
    3.44     0.00495     0.00062      -0.00284     0.00289
    3.63     0.00519     0.000636      -0.00214     0.00225
    3.83     0.00672     0.000682      -0.00133     0.0015
    4.12     0.00807     0.000559      -0.000265     0.000496
    4.52     0.00506     0.000717      0.00048     -0.000236
3-4 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000228     0.000309      1.57e-05     -1.57e-05
    -1.13     -0.000192     0.000238      -2.77e-05     2.71e-05
    -0.83     0.000413     0.000203      -0.000122     0.000116
    -0.54     0.00159     0.000186      -0.000251     0.000235
    -0.29     0.00495     0.00022      -0.000348     0.000323
    -0.15     0.00828     0.000312      -0.000385     0.000356
    -0.05     0.0103     0.000308      -0.000397     0.000367
    0.05     0.0105     0.00031      -0.000397     0.000367
    0.15     0.0083     0.000313      -0.000385     0.000356
    0.29     0.00485     0.000219      -0.000348     0.000323
    0.54     0.00165     0.000187      -0.000251     0.000235
    0.83     0.000504     0.000203      -0.000122     0.000116
    1.13     -0.00026     0.000238      -2.77e-05     2.71e-05
    1.42     0.000231     0.000309      1.57e-05     -1.57e-05
    1.77     0.000837     0.000244      1.17e-05     -1.17e-05
    2.16     0.000862     0.000192      -6.84e-05     6.61e-05
    2.45     0.00141     0.000242      -0.000184     0.000174
    2.65     0.00115     0.000224      -0.000273     0.000255
    2.85     0.00102     0.000218      -0.000348     0.000323
    3.04     0.0012     0.000216      -0.000392     0.000363
    3.24     0.0011     0.000215      -0.000392     0.000363
    3.44     0.00101     0.000217      -0.000348     0.000323
    3.63     0.0011     0.000223      -0.000273     0.000255
    3.83     0.0015     0.000243      -0.000184     0.000174
    4.12     0.000827     0.000192      -6.84e-05     6.61e-05
    4.52     0.000854     0.000244      1.17e-05     -1.17e-05
3-4 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     3.27e-05     0.000121      8.1e-06     -7.93e-06
    -1.13     0.000282     9.85e-05      1.74e-06     -1.68e-06
    -0.83     -9.62e-06     7.85e-05      -1.16e-05     1.1e-05
    -0.54     0.000326     7.37e-05      -2.96e-05     2.76e-05
    -0.29     0.000991     8.83e-05      -4.29e-05     3.98e-05
    -0.15     0.00234     0.000136      -4.8e-05     4.43e-05
    -0.05     0.0032     0.000138      -4.95e-05     4.57e-05
    0.05     0.00308     0.000137      -4.95e-05     4.57e-05
    0.15     0.00236     0.000135      -4.8e-05     4.43e-05
    0.29     0.00094     8.76e-05      -4.29e-05     3.98e-05
    0.54     0.000213     7.22e-05      -2.96e-05     2.76e-05
    0.83     6.29e-05     7.9e-05      -1.16e-05     1.1e-05
    1.13     -0.00016     9.09e-05      1.74e-06     -1.68e-06
    1.42     0.0001     0.000122      8.1e-06     -7.93e-06
    1.77     0.000121     9.61e-05      7.51e-06     -7.33e-06
    2.16     6.96e-05     7.42e-05      -4.09e-06     3.91e-06
    2.45     0.000146     9.37e-05      -2.04e-05     1.91e-05
    2.65     0.000311     8.89e-05      -3.26e-05     3.03e-05
    2.85     0.000222     8.58e-05      -4.29e-05     3.98e-05
